위반문장 원문,대안제시,부당특약 사유
"6.9.22 콘크리트배관 등 가설 OPEN 방수는 별도 항목이 없으며, 세대 도막방수 단가에 포함하여
견적하도록 한다.(별도 수량정산 없음)","6.9.22 콘크리트배관 등 가설 OPEN 방수는 별도 항목이 없으며, 세대 도막방수 단가에 포함하여
견적하도록 한다.(별도 수량정산 없음)",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
"6.9.24 주동부 최하층, 공용부 및 지하주차장, 부대동의 액체방수코너보강 및 수용성아스팔트도막보강이 필요한 부위는 기계약단가로 정산한다","보강 필요부위에 대해서는 당사가 지정하는 것이므로 입찰시 금액 산정이 가능하게 정보를 주거나, '보강 필요시 상호 협의한 단가로 정산한다' 라고 수정 필요",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
"6.9.22 콘크리트배관 등 가설 OPEN 방수는 별도 항목이 없으며, 세대 도막방수 단가에 포함하여
견적하도록 한다.(별도 수량정산 없음)","6.9.22 콘크리트배관 등 가설 OPEN 방수는 별도 항목이 없으며, 세대 도막방수 단가에 포함하여
견적하도록 한다.(별도 수량정산 없음)",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
"6.9.24 주동부 최하층, 공용부 및 지하주차장, 부대동의 액체방수코너보강 및 수용성아스팔트도막보강이 필요한 부위는 기계약단가로 정산한다","1안) 6.9.24 주동부 최하층, 공용부 및 지하주차장, 부대동의 액체방수코너보강 및 수용성아스팔트도막보강이 필요한 부위는 아래 예시를 참조 바라며, 해당 계약 내역 ""액체 방수 코너보강 및 수용성 아스팔트막보강""(내역명)의 단가를 기준으로 추후 정산한다. 
2안) 삭제",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
"6.9.22 콘크리트배관 등 가설 OPEN 방수는 별도 항목이 없으며, 세대 도막방수 단가에 포함하여
견적하도록 한다.(별도 수량정산 없음)","6.9.22 콘크리트배관 등 가설 OPEN 방수는 별도 항목이 없으며, 세대 도막방수 단가에 포함하여
견적하도록 한다.(별도 수량정산 없음)",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
"6.9.24 주동부 최하층, 공용부 및 지하주차장, 부대동의 액체방수코너보강 및 수용성아스팔트도막보강이 필요한 부위는 기계약단가로 정산한다","1안) 6.9.24 주동부 최하층, 공용부 및 지하주차장, 부대동의 액체방수코너보강 및 수용성아스팔트도막보강이 필요한 부위는 아래 예시를 참조 바라며, 해당 계약 내역 ""액체 방수 코너보강 및 수용성 아스팔트막보강""(내역명)의 단가를 기준으로 추후 정산한다. 
2안) 삭제",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
1.1.3  “갑”은 현장 여건 상 계약 설계도서와 변경하여 시공하도록 지시할 수 있으며 “갑”은 “갑”의 내부규정에 의한 “작업지시서”를 교부하여야 하며 “을”은 이를 접수 시 특별한 사유가 없는 한 즉시 이행해야 한다.,삭제,"법령에 따라 발급/이행에 대한 의무가 명기가 되어 있으므로, 불필요한 문구라 삭제 요망"
1.1.4  “을”에게 인계된 지급자재는 철저히 관리하고 분실 시는 변상조치를 하여야 하며 오시공으로 투입되는 추가 자재 및 노무비는 “을”의 부담으로 전량 공급 및 시공되어야 한다.,"1.1.4  “을”에게 인계된 지급자재는 철저히 관리하고 분실 시는 변상조치를 하여야 하며 ""수급사업자""의 귀책사유에 의한 오시공으로 투입되는 추가 자재 및 노무비는 “을”의 부담으로 전량 공급 및 시공되어야 한다.","원사업자는 수급사업자의 이익을 부당하게 침해하거나 제한하는 계약조건(이하 ""부당한 특약""이라 한다)을 설정하여서는 아니 된다"
"6.3.18 E/V Frame 사춤/미장 (40T,W=200)의 규격은 40~70T 기준이므로 사춤폭이 다소 증감 또는 
재질(우레아폼)이 조정된 부분에 있어서 추가 설계 변경은 없으며, 해당내역에 포함하여 투찰한다.","6.3.18 E/V Frame 사춤/미장 (40T,W=200)의 규격은 40~70T 기준이므로 입찰전 송부하는 도면을 기준으로 
공사 비용을 산출하여 해당 공사구간 내역에 포함하여 투찰한다.",원사업자(발주자 포함)가 설계나 작업내용을 변경함에 따라 발생하는 비용을 수급사업자에게 부담시키는 약정
"6.4.1 조적공사에 소요되는 재료비, 노무비, 장비비 및 제반 경비 일체 - 현장내 소운반 포함","6.4.1 조적공사에 소요되는 재료비, 노무비, 장비비 및 제반 경비 일체 - 현장내 소운반 포함 (최대 몇 Km?)",위탁 시점에 원사업자와 수급사업자가 예측할 수 없는 사항과 관련하여 수급사업자에게 불합리하게 책임을 부담시키는 약정
"6.3.18 E/V Frame 사춤/미장 (40T,W=200)의 규격은 40~70T 기준이므로 사춤폭이 다소 증감 또는 
재질(우레아폼)이 조정된 부분에 있어서 추가 설계 변경은 없으며, 해당내역에 포함하여 투찰한다.","6.3.18 E/V Frame 사춤/미장 (40T,W=200)의 규격은 40~70T 기준이므로 입찰전 송부하는 도면을 기준으로 
공사 비용을 산출하여 해당 공사구간 내역에 포함하여 투찰한다.",원사업자(발주자 포함)가 설계나 작업내용을 변경함에 따라 발생하는 비용을 수급사업자에게 부담시키는 약정
"6.4.1 조적공사에 소요되는 재료비, 노무비, 장비비 및 제반 경비 일체 - 현장내 소운반 포함","6.4.1 조적공사에 소요되는 재료비, 노무비, 장비비 및 제반 경비 일체 - 현장내 소운반 포함 (최대 몇 Km?)",위탁 시점에 원사업자와 수급사업자가 예측할 수 없는 사항과 관련하여 수급사업자에게 불합리하게 책임을 부담시키는 약정
"6.2.4 유리성능(구조, 단열 등) 검토에 따른 유리사양변경 및 수량증감시 기계약단가를 적용한다.","6.2.4 현재는 판유리(내용 확인필요)로 적용되어 있으나, 해당 사양이 XX.X월경 확정되므로 사양 확정 시 양자간 협의된 단가로 조정할수 있다.",위탁 시점에 원사업자와 수급사업자가 예측할 수 없는 사항과 관련하여 수급사업자에게 불합리하게 책임을 부담시키는 약정
"6.3.10 (중략)
* 협의율 : 설계변경 당시를 기준으로 산정한 단가와 동단가에 낙찰율을 곱한 금액의 범위안에서 회사와 계약당사자가 상호 협의하여 결정한 적용율 (낙찰율을 우선적용한다)","6.3.10 (중략)
* 협의율 : 설계변경 당시를 기준으로 산정한 단가를 고려하여 회사와 계약당사자가 상호 협의하여 결정한 적용율","신규 단가에 대해서는 양자간 협의하여 결정하는 것이 기준이며, 그 기준의 상한선을 당사에서 정하는 문구로 해석이 되어 이는 부당한 대금 결정의 법위반 Risk가 있음"
1)     신규단가는 당사 DB단가*낙찰율 또는 타현장 실적단가 등으로 협의하여 결정한다.,"7.2.11 (중략)
* 협의율 : 설계변경 당시를 기준으로 산정한 단가를 고려하여 회사와 계약당사자가 상호 협의하여 결정한 적용율","신규 단가에 대해서는 양자간 협의하여 결정하는 것이 기준이며, 그 기준의 상한선을 당사에서 정하는 문구로 해석이 되어 이는 부당한 대금 결정의 법위반 Risk가 있음"
"8.2.10 (중략)
* 협의율 : 설계변경 당시를 기준으로 산정한 단가와 동단가에 낙찰율을 곱한 금액의 범위안에서 회사와 계약당사자가 상호 협의하여 결정한 적용율 (낙찰율을 우선적용한다)","8.2.10 (중략)
* 협의율 : 설계변경 당시를 기준으로 산정한 단가를 고려하여 회사와 계약당사자가 상호 협의하여 결정한 적용율","신규 단가에 대해서는 양자간 협의하여 결정하는 것이 기준이며, 그 기준의 상한선을 당사에서 정하는 문구로 해석이 되어 이는 부당한 대금 결정의 법위반 Risk가 있음"
"6.1.30 당 현장 지역의 노조 대응(타워, 골조, 시스템비계, 하이드로 등)에 따른 적정 인원 및 장비의 투입관련 비용은 견적에 반영하며, 이로 인한 금액증감은 없으므로 이를 충분히 반영하여 투찰한다.","6.1.30 소속된 근로자의 관리는 수급사업자의 업무범위이다. 
         근로자의 관리는 당 현장 지역의 노조 (타워, 골조, 시스템 비계, 하이드로 등) 대응을 포함한다.",계약 기간 중 수급사업자가 법 제 16조의 2에 따라 하도급 대금 조정을 신청할 수 있는 권리를 제한하는 약정
6.6 발주내역 상 명기된 지급자재 외 공사에 소요되는 부속자재를 반영하여 투찰한다.,"6.6 (삭제) 
     공사에 소요되는 부속자재 (XXX,YYY 명기)",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
11) 계약내역에 포함되어 있지 않은 공사에 필요한 각종 가시설 비용은 “수급사업자”의 부담으로 견적에 반영하도록 한다. (설치/ 해체 포함),"11) 계약내역에 포함되어 있지 않은 공사에 필요한 각종 가시설 (XXX,YYY 등) 비용은 “수급사업자”의 부담으로 견적에 반영하도록 한다. (설치/ 해체 포함)",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
"6.1.15 절단 폐기물의 집토(적정크기의 소할파쇄 포함) 및 “원사업자”의 지정 장소까지 상차, 해당공사 구간의 청소, 정리까지 포함하여 견적한다.","6.1.15 절단 폐기물의 집토(적정크기의 소할파쇄 포함) 및 폐기물의 상차, 해당공사 구간의 청소, 정리까지 포함하여 견적한다.","원사업자의 지정위치를 현장설명회시 추가로 정보를 주어야 부당특약 Risk가 저감될 것으로 보이며, 해당 공사는 여타 공사 처럼 암롤 박스를 지정위치에 두고 폐기물을 수집/처리하는 것이 아니므로 문구 수정이 필요"
"6. 13 S/D 기간 중 짧은 기간 내 대량의 물량을 철거/설치해야 하므로 공정에 따라 야간, 철야
    작업이 있음을 감안한다.","S/D 기간을 명기 하고, 야간/철야 작업이 기간을 추가로 명기하여야함",위탁 시점에 원사업자와 수급사업자가 예측할 수 없는 사항과 관련하여 수급사업자에게 불합리하게 책임을 부담시키는 약정
- 사용 완료된 Wire/Shackle 은 당사 담당자의 검수 후(재사용 여부 판단) 당사에 반납한다.,"중량물 인양기구 금액을 포함시킬 내역 명기 필요
예) - 중량물 인양기구 (Wire/Shackle) 비용은 ""XXXX"" 내역에 포함하여 투찰한다 
     -  사용 완료된 Wire/Shackle 은 당사 담당자의 검수 후(재사용 여부 판단) 당사에 반납한다.",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
7. 기기 및 Duct 설치를 위해 필요한 가 시설물에 대해서도 설치비에 포함하여 입찰한다.,"7. 기기 및 Duct 설치를 위해 필요한 가 시설물(윈치, XXXX, YYY 등)에 대해서도 해당공사 내역 설치비에 포함하여 입찰한다.",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
12. Pad 및 Grout용 무수축 Mortar은 MR-7000으로 반영하여 투찰한다.,12. Pad 및 Grout용 무수축 Mortar은 MR-7000에 해당하는 Spec.을 명기 으로 반영하여 투찰한다.,특정 제품을 명기시 하도급법 중 '부당한 하도급 대금의 결정' 법위반 Risk가 존재
6.2.2 마. 동절기 공사 면적(m2)당 5000원으로 단가 산정하여 추후 설계 변경함,특정 내역에 대해 당사가 일방적으로 단가를 정하는 행위는 부당한 하도급 대금의 결정의 Risk가 존재함,
"수급사업자” 공사범위와 관련한 현장 내 정리정돈 및 청소요원배치, 장비 및 자재 반출입 시의 
교통 통제원의 비용을 포함하여 투찰한다.","수급사업자” 공사범위와 관련한 현장 내 정리정돈 및 청소요원배치, 장비 및 자재 반출입 시의 
교통 통제원의 비용을 (내역명 명기) 포함하여 투찰한다.",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
"수급사업자” 공사범위와 관련한 현장 내 정리정돈 및 청소요원배치, 장비 및 자재 반출입 시의 
교통 통제원의 비용을 포함하여 투찰한다.","수급사업자” 공사범위와 관련한 현장 내 정리정돈 및 청소요원배치, 장비 및 자재 반출입 시의 
교통 통제원의 비용을 (내역명 명기) 포함하여 투찰한다.",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
"수급사업자” 공사범위와 관련한 현장 내 정리정돈 및 청소요원배치, 장비 및 자재 반출입 시의 
교통 통제원의 비용을 포함하여 투찰한다.","수급사업자” 공사범위와 관련한 현장 내 정리정돈 및 청소요원배치, 장비 및 자재 반출입 시의 
교통 통제원의 비용을 (내역명 명기) 포함하여 투찰한다.",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
"수급사업자” 공사범위와 관련한 현장 내 정리정돈 및 청소요원배치, 장비 및 자재 반출입 시의 
교통 통제원의 비용을 포함하여 투찰한다.","수급사업자” 공사범위와 관련한 현장 내 정리정돈 및 청소요원배치, 장비 및 자재 반출입 시의 
교통 통제원의 비용을 (내역명 명기) 포함하여 투찰한다.",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
"가. 타일의 부착력 테스트는 “수급사업자”의 비용으로 실시하며, 시험결과 부착강도가 4㎏/㎠이상이어야 한다.","가. 타일의 부착력 테스트는 원사업자가 실시함을 원칙으로 하며, 시험결과 부착강도 기준 4㎏/㎠이상을 미달할 경우 재시험비용은 수급사업자가 부담한다.",
"6.2.9. 설계변경 등 ‘갑’ 사유가 아닌, 부득이한 코어 등의 작업이 발생할 경우 감리 또는 ‘갑’의 구조보강에 대한 요구가 있을 때에는 소요되는 비용(구조검토비 포함)을 부담하여야 한다.","6.2.9. 수급사업자의 귀책사유로, 감리 또는 ‘갑’의 구조보강에 대한 요구가 있을 때에는 소요되는 비용(구조검토비 포함)을 부담하여야 한다.","해당 비용에 대해서 전가하기 위해서는 반드시 수급사업자의 귀책사유가 전제되어야 하며, 그렇지 않을 경우 추가비용을 협의하여 결정하여야 합니다."
마. 동절기 공사 면적(m2)당 5000원으로 단가 산정하여 추후 설계 변경함,삭제,내역에 없는 사항에 대해 대금을 결정하였다고 오해의 소지가 있을수 있습니다.
"1) 공사 중 작업공간(폭)의 협소 또는 각처리 난해 등에 의한 별도 추가정산은 없으므로 이를 감안하여 견적한다. 단, 걸레받이 설치 면적은 별도 공제하지 아니한다.","1) 수급사업자는 사전 제공하는 도면 등 자료를 통해 공사 중 작업공간(폭)의 협소 또는 각처리 난이도에 대한 충분한 검토를 해야할 의무를 지닌다. 단, 걸레받이 설치 면적은 별도 공제하지 아니한다.",
"4) “수급사업자”가 반입하는 자재의 하차 및 소운반 비용은 “수급사업자”의 비용으로 해당내역에 포함하여 견적하며, 자재야적 시 받침목을 사용하여야 하며, 이를 감안하여 견적한다.","4) “수급사업자”가 반입하는 자재의 하차 및 소운반 비용은 “수급사업자”의 비용으로 해당내역에 포함하여 견적하며, 자재야적 시 받침목을 사용하여야 하며, 이를 감안하여 견적한다. (최대 몇 Km?)",
"9)  “원사업자”의 지급자재 외 공사에 소요되는 모든 주, 부자재는 “수급사업자”이 부담하여야 하며, 사용 전 SAMPLE을 제출하여 감독자의 승인을 득하도록 하며 시험검사비는 “수급사업자”의 부담으로 한다.","9) “원사업자”의 지급자재 외 공사에 소요되는 모든 주, 부자재는 “수급사업자”이 부담하여야 하며, 사용 전 SAMPLE을 제출하여 감독자의 승인을 득하도록 하며 본 시공의 품질은 Sample 시공품질의 동등 이상이어야 한다.",
"14) 근로기준법 관련하여 근로시간단축(주52시간), 당 현장 지역의 노조 대응(타워, 골조, 시스템비계, 하이드로 등)따른 적정 인원 및 장비의 투입관련 비용은 견적에 반영하며, 이로 인한 금액증감은 없으므로 이를 충분히 반영하여 투찰한다.","14) 근로기준법 관련하여 근로시간단축(주52시간), 당 현장 지역의 노조 대응(타워, 골조, 시스템비계, 하이드로 등)따른 적정 인원 및 장비의 투입관련 비용은 견적에 반영하며, 이로 인한 금액증감은 없으므로 이를 충분히 반영하여 투찰한다.",
"6.2.1 공통사항
5) “원사업자”의 지급자재 외 공사에 소요되는 모든 주, 부자재는 “수급사업자”가 부담하여야 하며, 사용  전 SAMPLE을 제출하여 감독자의 승인을 득하도록 한다. KS제품을 사용하도록 하며 작업 전 사용자재를 반입하여 공인기관에 시험을 의뢰하여 합격품만을 사용하도록 한다.","6.2.1 공통사항
5) “원사업자”의 지급자재 외 공사에 소요되는 모든 주, 부자재는 “수급사업자”가 부담하여야 하며, 사용  전 SAMPLE을 제출하여 감독자의 승인을 득하도록 한다. KS제품을 사용하도록 하며 작업 전 사용자재를 반입하여 공인기관에 시험을 의뢰하여 합격품만을 사용하도록 한다.",불필요(합리적/객관적으로 당연한 사항)
"6.2.1 공통사항
6) 시공 후 잔여 자재는 반드시 지정장소로 운반하도록 하여 자재정리 및 보관관리가 용이하도록 하며 부주의로 파손 및 분실하였을 경우 부족분 및 파손분에 대해서는 “수급사업자”의 책임하에 반입토록 한다.","6.2.1 공통사항
6) 시공 후 잔여 자재는 반드시 지정장소(현장내 몇km?)로 운반하도록 하여 자재정리 및 보관관리가 용이하도록 한다.며 수급사업자의 부주의로 파손 및 분실하였을 경우 부족분 및 파손분에 대해서는 “수급사업자”의 책임하에 반입토록 한다.","위탁시점에 원사업자와 수급사업자가 예측할 수 없는 사항과 관련하여 수급사업자에게 불합리하게 책임을 부담시키는 약정

불필요(합리적/객관적으로 당연한 사항)"
"6.2.1 공통사항
7) 모든 시공 부위의 실측, 시공 Shop DWG 작성 및 제출 비용을 포함하여 견적한다.","6.2.1 공통사항
7) 모든 시공 부위의 실측, 시공 Shop DWG 작성 및 제출 비용을 어느내역에?포함하여 견적한다.",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
"6.2.4 공사 관련 사항(전기)
1) 가설건물의 전기공사 일체를 견적시 포함한다.","6.2.4 공사 관련 사항(전기)
1) 가설건물의 전기공사 일체를 견적시 어느내역에? 포함한다.",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
"6.1 주요 내역 견적/정산 조건(일반)
6.1.2 시공 후 잔여 자재는 반드시 지정된 장소로 운반하여 자재 구획 및 정리를 실시하여야 한다.
(품명, 규격, 수량, 사용기간 표찰 부착) 또한, 부주의로 파손 및 분실하였을 경우 부족분 및 파손분에 대해서는 “수급사업자”의 책임하에 반입 하도록 한다.","6.1 주요 내역 견적/정산 조건(일반)
6.1.2 시공 후 잔여 자재는 반드시 지정된 장소로 운반하여 자재 구획 및 정리를 실시하여야 한다. 
(품명, 규격, 수량, 사용기간 표찰 부착) (삭제)
또한, 부주의로 파손 및 분실하였을 경우 부족분 및 파손분에 대해서는 “수급사업자”의 책임하에 반입 하도록 한다.",불필요(합리적/객관적으로 당연한 사항)
6.1.8 현장 주변은 주차공간이 없으므로 주변 현황 파악 후 견적한다. 특히 주변 아파트 및 가설휀스 주변 불법주차로 인해 민원이 빈번하게 발생하고 있으므로 지정주차 공간 외에는 주차가 절대 불가하다,6.1.8 현장 주변은 주차공간이 없으므로 주변 현황 파악 후 견적한다. 특히 주변 아파트 및 가설휀스 주변 불법주차로 인해 민원이 빈번하게 발생하고 있으므로 지정된 주차 공간에 주차하여야 한다.,법에 따라 인정되거나 법에서 보호하는 수급사업자의 권리·이익을 부당하게 제한하는 약정
"6.1.10 근로기준법 관련하여 근로시간단축(주52시간)에 따른 추가 인원 및 장비의 투입관련 비용은 견적에 반영하며, 이로 인한 금액증감은 없으므로 이를 충분히 반영하여 투찰한다.","6.1.10 근로기준법 관련하여 근로시간단축(주52시간)에 따른 추가 인원 및 장비의 투입관련 비용은 해당작업내역? 관리비 및 이윤? 견적에 반영한다.
(삭제)하며, 이로 인한 금액증감은 없으므로 이를 충분히 반영하여 투찰한다.

※ 계약내역서상 어느 내역에 또는 관리비 및 이윤에 포함하여야 하는지 명확히 기재해 주세요. (또한, 공사성 비용을 간접비(관리비 및 이윤)에 포함시키지 않도록 주의하여 주시기 바랍니다.)","원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정

법에 따라 인정되거나 법에서 보호하는 수급사업자의 권리·이익을 부당하게 제한하는 약정"
"6.2 주요 내역 견적/정산 조건(전기)
6.2.1 계약내역에 포함된 아래 항목은 “수급사업자”이 견적시 반영하고 이행한다.","6.2 주요 내역 견적/정산 조건(전기)
6.2.1 계약내역에 포함된 아래 항목은 “수급사업자”가 견적시 해당작업 내역에 반영하고 이행한다.

※ 계약내역서상 어느 내역에 또는 관리비 및 이윤에 포함하여야 하는지 명확히 기재해 주세요. (또한, 공사성 비용을 간접비(관리비 및 이윤)에 포함시키지 않도록 주의하여 주시기 바랍니다.)",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
"6.2.2 “원사업자”은 현장여건 상 계약설계도서를 변경하여 시공하도록 지시할 수 있으며, 반드시 “원사업자”의 내부규정에 의한 “작업지시서”를 교부하여야 하며 “수급사업자” 은 이를 접수 시 특별한 사유가 없는 한 즉시 이행해야만 한다. 이후, 이행에 따른 변경도면, 물량산출서, 내역서를 7일 이내 제출한다.","6.2.2 “원사업자”은 현장여건 상 계약설계도서를 변경하여 시공하도록 지시할 수 있으며, 반드시 “원사업자”의 내부규정에 의한 “작업지시서”를 교부하여야 하며 “수급사업자” 은 이를 접수 시 특별한 사유가 없는 한 즉시 이행해야만 한다. 이후, 이행에 따른 변경도면, 물량산출서, 내역서를 7일 이내 제출한다.
(단, 입찰시 예측이 불가한 사항은 향후 협의하여 정산한다.)",위탁시점에 원사업자와 수급사업자가 예측할 수 없는 사항과 관련하여 수급사업자에게 불합리하게 책임을 부담시키는 약정
"6.2.3 전기실 저압반은 케이블 선로(상)표시찰을 설치하며 지하주차장 TRAY에 60M마다 또한 분기개소 및 동출입구 부위등은 케이블 선로표시찰을 설치하여 투찰시 반영한다. 또한, 동 입상케이블은 수직하중을 대비하여 케이블 그랜드를 설치하며 투찰시 반영한다.(설치개소는 담당자와 협의)","6.2.3 전기실 저압반은 케이블 선로(상)표시찰을 설치하며 지하주차장 TRAY에 60M마다 또한 분기개소 및 동출입구 부위등은 케이블 선로표시찰을 설치하여 투찰시 반영한다. 또한, 동 입상케이블은 수직하중을 대비하여 케이블 그랜드를 설치하며 투찰시 해당작업 내역에 반영한다.(설치개소는 담당자와 협의하며, 입찰시 예측이 불가한 사항은 향후 협의하여 정산한다.)","원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정

위탁시점에 원사업자와 수급사업자가 예측할 수 없는 사항과 관련하여 수급사업자에게 불합리하게 책임을 부담시키는 약정"
"6.3 기타 특기 조건
6.3.2 당 현장은 “출입관리시스템(안면인식)” 적용 예정으로 “원사업자”의 출입관리시스템에 의해 출역 관리를 해야 하며, 해당 시스템 설치 및 사용 비용은 “수급사업자”의 비용으로 한다.","6.3 기타 특기 조건
6.3.2 당 현장은 “출입관리시스템(안면인식)” 적용 예정으로 “원사업자”의 출입관리시스템에 의해 출역 관리를 해야 하며, 해당 시스템 설치 및 사용 비용은 견적시 어느 내역??에 반영한다.",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
"6.3.5 모든 자재는 “원사업자”의 승인을 득한 자재만이 현장에 반입할 수 있다. 자재 승인 제출서류는 사업자등록증, 카탈로그, 시험성적서, 제조업체 현황, 상세 도면 등 검사에 필요한 관계자료 일체를 제출한다.","6.3.5 모든 자재는 “원사업자”의 승인을 득한 자재만이 현장에 반입할 수 있다. 자재 승인 제출서류는 사업자등록증, 카탈로그, 시험성적서, 제조업체 현황, 상세 도면 등 검사에 필요한 관계자료 일체를 제출한다.",법에 따라 인정되거나 법에서 보호하는 수급사업자의 권리·이익을 부당하게 제한하는 약정
6.3.7 현장 주변은 주차공간 없으므로 주변 현황 파악 후 견적한다. 특히 주변 아파트 및 가설 휀스 주변 불법주차로 인해 민원이 빈번하게 발생하고 있으므로 지정 주차 공간 외에는 주차가 절대 불가하다.,"(삭제, 6.1.8 중복)
6.3.7 현장 주변은 주차공간 없으므로 주변 현황 파악 후 견적한다. 특히 주변 아파트 및 가설 휀스 주변 불법주차로 인해 민원이 빈번하게 발생하고 있으므로 지정 주차 공간 외에는 주차가 절대 불가하다.","불필요(합리적/객관적으로 당연한 사항)
6.1.8 중복"
6.3.8 현장 인근 민원으로 인해 주말/휴일에는 작업시간이 제한적으로 운영될 수 있다.,"(삭제)
6.3.8 현장 인근 민원으로 인해 주말/휴일에는 작업시간이 제한적으로 운영될 수 있다.",불필요(합리적/객관적으로 당연한 사항)
"6.3.9 당 현장 주변은 아파트 단지와 인접하여 있어 공사 진행 시 소음, 분진, 진동으로 인한 민원이 많을 것으로 예상되므로, 공사 수행 단계별 소음방지 대책을 강구 및 이행하여야 하고, 해당 금액은 견적에 포함한다. 또한, “수급사업자”은 시공 중 주변 상황을 수시로 체크 감시하여 민원발생 방지에 최선을 다해야 하며, “수급사업자”의 소음방지대책 미흡에 따른 민원발생으로 생긴 작업 지연 손실비용 일체에 대해 “원사업자”에게 청구할 수 없으며, 공기 지연이 발생되면 “수급사업자”의 비용으로 만회 대책을 강구하여야 한다.","6.3.9 당 현장 주변은 아파트 단지와 인접하여 있어 공사 진행 시 소음, 분진, 진동으로 인한 민원이 많을 것으로 예상되므로, 공사 수행 단계별 소음방지 대책을 강구 및 이행하여야 하고, 해당 금액은 견적시 어느내역? 포함한다. 
(삭제) 또한, “수급사업자”은 시공 중 주변 상황을 수시로 체크 감시하여 민원발생 방지에 최선을 다해야 하며, “수급사업자”의 소음방지대책 미흡에 따른 민원발생으로 생긴 작업 지연 손실비용 일체에 대해 “원사업자”에게 청구할 수 없으며, 공기 지연이 발생되면 “수급사업자”의 비용으로 만회 대책을 강구하여야 한다.","원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정

불필요(합리적/객관적으로 당연한 사항)"
"1. 공통사항
4) 콘크리트벽체의 견출면과 접하는 미장면, 개구부 창호설치후 틈새 미장면, 계단실 측면 마감후 미장면,  경량벽의 조인트 부위는 미장작업, 경량벽체작업 완료 후 면정리 작업을 견출에서 마감하고 이에 소요되는 비용은 “수급사업자”가 부담한다.","1. 공통사항
4) 콘크리트벽체의 견출면과 접하는 미장면, 개구부 창호설치후 틈새 미장면, 계단실 측면 마감후 미장면,  경량벽의 조인트 부위는 미장작업, 경량벽체작업 완료 후 면정리 작업을 견출에서 마감하고 이에 소요되는 비용은 00내역에 반영하여 견적한다.",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
5) 마감 조인트 부위 및 발코니 벽체하부 방수용 recess부위 미장시공은 “수급사업자”가 처리해야하며 이에 소요되는 비용은 “수급사업자”가 부담한다.,5) 마감 조인트 부위 및 발코니 벽체하부 방수용 recess부위 미장시공은 “수급사업자”가 처리해야하며 이에 소요되는 비용은 00내역에 반영하여 견적한다.,원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
6) 방수 및 기타 마감을 위한 해당부위의 볼트 및 핀 제거등은 단가에 포함하며 기계미장 및 쇠흙손마감부위는 당사 바닥미장 기준 표준에 의거하여 품질관리를 한다,6) 방수 및 기타 마감을 위한 해당부위의 볼트 및 핀 제거등은 (무슨단가인지요?)단가에 포함하며 기계미장 및 쇠흙손마감부위는 당사 바닥미장 기준 표준에 의거하여 품질관리를 한다,원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
